date,price
2025-06-30,76.44
2025-07-01,76.57
2025-07-02,77.98
2025-07-03,78.11
2025-07-04,77.67
2025-07-07,77.18
2025-07-08,76.42
2025-07-09,76.37
2025-07-10,76.75
2025-07-11,76.58
2025-07-14,76.44
2025-07-15,77.53
2025-07-16,77.33
2025-07-17,76.52
2025-07-18,75.86
2025-07-21,75.80
2025-07-22,75.55
2025-07-23,78.31
2025-07-24,79.87
2025-07-25,80.38
2025-07-28,79.70
2025-07-29,82.21
2025-07-30,82.04
2025-07-31,83.84
2025-08-01,84.17
2025-08-04,83.96
2025-08-05,84.71
2025-08-06,84.09
2025-08-07,84.87
2025-08-08,86.40
2025-08-11,85.54
2025-08-12,84.65
2025-08-13,84.87
2025-08-14,84.07
2025-08-15,83.81
2025-08-18,84.99
2025-08-19,84.31
2025-08-20,84.43
2025-08-21,85.80
2025-08-22,85.68
2025-08-25,85.35
2025-08-26,85.90
2025-08-27,85.36
2025-08-28,84.83
2025-08-29,86.12
2025-09-01,87.15
2025-09-02,86.79
2025-09-03,86.63
2025-09-04,86.40
2025-09-05,87.05
2025-09-08,88.17
2025-09-09,87.14
2025-09-10,87.34
2025-09-11,85.75
2025-09-12,86.03
2025-09-15,87.04
2025-09-16,87.80
2025-09-17,87.29
2025-09-18,88.16
2025-09-19,87.88
2025-09-22,86.51
2025-09-23,87.11
2025-09-24,86.33
2025-09-25,86.05
2025-09-26,86.27
2025-09-29,87.10
2025-09-30,86.03
2025-10-01,84.61
2025-10-02,84.75
2025-10-03,84.51
2025-10-06,84.10
2025-10-07,83.69
2025-10-08,84.38
2025-10-09,84.59
2025-10-10,85.04
2025-10-13,82.43
2025-10-14,81.20
2025-10-15,82.17
2025-10-16,83.80
2025-10-17,83.70
2025-10-20,84.06
2025-10-21,81.82
2025-10-22,70.68
2025-10-23,62.68
2025-10-24,62.59
2025-10-27,63.03
2025-10-28,63.59
2025-10-29,64.09
2025-10-30,65.97
2025-10-31,65.85
2025-11-03,68.60
2025-11-04,69.73
2025-11-05,68.89
2025-11-06,66.55
2025-11-07,65.87
2025-11-10,66.37
2025-11-11,67.11
2025-11-12,68.46
2025-11-13,67.90
2025-11-14,67.49
2025-11-17,66.47
2025-11-18,67.79
2025-11-19,67.22
2025-11-20,67.92
2025-11-21,66.94
2025-11-24,67.15
2025-11-25,68.43
2025-11-26,68.26
2025-11-27,68.79
2025-11-28,69.88
2025-12-01,69.32
2025-12-02,68.49
2025-12-03,68.45
2025-12-04,69.10
2025-12-05,68.64
2025-12-08,68.81
2025-12-09,69.73
2025-12-10,69.37
2025-12-11,70.93
2025-12-12,70.76
2025-12-15,71.96
2025-12-16,72.02
2025-12-17,71.44
2025-12-18,71.13
